country,year,gdp_billions
"Latvia, Republic Of",2017,29.381
Slovak Republic,2017,95.944
"Estonia, Republic Of",2017,27.46
Mongolia,2017,11.481
Montenegro,2017,4.802
Hungary,2017,143.335
"Slovenia, Republic Of",2017,48.136
Bosnia And Herzegovina,2017,18.363
"Lithuania, Republic Of",2017,47.745
"Croatia, Republic Of",2017,56.166
"Poland, Republic Of",2017,528.497
"North Macedonia, Republic Of",2017,11.336
"Kosovo, Republic Of",2017,7.178
Romania,2017,210.53
United Kingdom,2018,2875.024
United States,2018,20656.525
Germany,2018,4057.272
Austria,2018,452.787
Belgium,2018,542.885
Italy,2018,2100.387
Denmark,2018,355.293
France,2018,2782.838
Netherlands,2018,930.155
Luxembourg,2018,71.118
"San Marino, Republic Of",2018,1.656
Switzerland,2018,725.889
Sweden,2018,549.649
Norway,2018,439.789
Finland,2018,273.993
"Liechtenstein, Principality Of",2018,6.693
Canada,2018,1725.3
Japan,2018,5040.881
"Andorra, Principality Of",2018,3.217
Spain,2018,1432.292
Malta,2018,16.161
Greece,2018,213.396
Iceland,2018,26.678
Ireland,2018,395.96
Portugal,2018,242.203
Argentina,2018,524.431
New Zealand,2018,209.747
Australia,2018,1417.158
"Tã¼Rkiye, Republic Of",2018,807.318
South Africa,2018,405.093
Colombia,2018,334.124
Bolivia,2018,40.581
Brazil,2018,1916.934
Costa Rica,2018,62.422
Chile,2018,295.428
Ecuador,2018,107.479
Dominican Republic,2018,85.068
El Salvador,2018,26.021
Mexico,2018,1256.3
Panama,2018,67.316
Haiti,2018,16.454
Honduras,2018,24.067
Guatemala,2018,73.331
Nicaragua,2018,13.025
Uruguay,2018,65.37
"Venezuela, Repãºblica Bolivariana De",2018,102.021
Peru,2018,229.824
Paraguay,2018,40.225
Dominica,2018,0.555
"Bahamas, The",2018,12.819
"Aruba, Kingdom Of The Netherlands",2018,3.276
Antigua And Barbuda,2018,1.662
Jamaica,2018,16.767
Belize,2018,2.286
Barbados,2018,5.63
Grenada,2018,1.167
St. Kitts And Nevis,2018,1.077
Guyana,2018,4.788
Puerto Rico,2018,100.958
St. Vincent And The Grenadines,2018,0.884
St. Lucia,2018,2.061
Suriname,2018,3.996
Trinidad And Tobago,2018,23.883
Iraq,2018,230.189
"Iran, Islamic Republic Of",2018,343.713
"Bahrain, Kingdom Of",2018,39.568
Cyprus,2018,25.766
Oman,2018,91.506
Kuwait,2018,138.655
Jordan,2018,43.432
Israel,2018,375.471
Qatar,2018,183.335
Lebanon,2018,54.9
United Arab Emirates,2018,440.56
"Egypt, Arab Republic Of",2018,263.156
Saudi Arabia,2018,886.564
"Afghanistan, Islamic Republic Of",2018,18.336
"Yemen, Republic Of",2018,21.606
West Bank And Gaza,2018,16.277
Bangladesh,2018,321.379
Bhutan,2018,2.651
Cambodia,2018,33.181
Myanmar,2018,67.491
Brunei Darussalam,2018,13.567
Indonesia,2018,1042.272
Taiwan Province Of China,2018,610.69
"Hong Kong Special Administrative Region, People'S Republic Of China",2018,361.731
Sri Lanka,2018,94.484
Malaysia,2018,358.783
Lao People'S Democratic Republic,2018,18.131
"Macao Special Administrative Region, People'S Republic Of China",2018,55.191
"Korea, Republic Of",2018,1824.251
"Timor-Leste, Democratic Republic Of",2018,1.556
India,2018,2702.93
Singapore,2018,377.124
Philippines,2018,346.842
Maldives,2018,5.398
Nepal,2018,33.112
Pakistan,2018,356.163
"Palau, Republic Of",2018,0.288
Thailand,2018,506.754
Djibouti,2018,2.913
Vietnam,2018,304.47
Botswana,2018,17.032
Angola,2018,114.189
Algeria,2018,194.507
Central African Republic,2018,2.383
Cameroon,2018,39.992
Burundi,2018,3.037
Cabo Verde,2018,2.205
"Congo, Democratic Republic Of The",2018,48.037
"Congo, Republic Of",2018,14.781
Chad,2018,15.169
"Comoros, Union Of The",2018,1.179
"Eritrea, The State Of",2018,2.006
Benin,2018,14.346
"Equatorial Guinea, Republic Of",2018,13.309
Guinea-Bissau,2018,1.555
"Ethiopia, The Federal Democratic Republic Of",2018,80.207
"Gambia, The",2018,1.662
Gabon,2018,16.83
Guinea,2018,11.857
Ghana,2018,67.259
Malawi,2018,9.882
Kenya,2018,92.211
Cã´Te D'Ivoire,2018,58.522
Liberia,2018,3.264
"Lesotho, Kingdom Of",2018,2.472
"Mauritania, Islamic Republic Of",2018,7.472
Mali,2018,17.079
"Madagascar, Republic Of",2018,13.76
Libya,2018,76.682
Morocco,2018,127.341
Mauritius,2018,14.736
Niger,2018,12.814
Nigeria,2018,593.897
"Mozambique, Republic Of",2018,15.017
Sierra Leone,2018,6.39
Senegal,2018,23.127
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2018,0.387
Rwanda,2018,9.638
Zimbabwe,2018,53.914
Sudan,2018,33.59
"South Sudan, Republic Of",2018,2.78
Somalia,2018,7.873
Seychelles,2018,1.777
Namibia,2018,13.676
Tunisia,2018,42.687
Togo,2018,7.032
"Tanzania, United Republic Of",2018,54.775
"Eswatini, Kingdom Of",2018,4.645
Solomon Islands,2018,1.615
Kiribati,2018,0.234
Burkina Faso,2018,15.916
Uganda,2018,34.126
Zambia,2018,26.312
Tonga,2018,0.481
Vanuatu,2018,0.884
Samoa,2018,0.878
"Nauru, Republic Of",2018,0.131
"Fiji, Republic Of",2018,5.581
Papua New Guinea,2018,24.11
"Belarus, Republic Of",2018,60.011
"Marshall Islands, Republic Of The",2018,0.22
"Micronesia, Federated States Of",2018,0.394
Tuvalu,2018,0.048
"Armenia, Republic Of",2018,12.458
"Azerbaijan, Republic Of",2018,47.113
Albania,2018,15.38
"Kazakhstan, Republic Of",2018,179.34
Georgia,2018,17.905
Russian Federation,2018,1653.005
Bulgaria,2018,66.318
Kyrgyz Republic,2018,8.271
"Moldova, Republic Of",2018,11.252
"Tajikistan, Republic Of",2018,7.762
"China, People'S Republic Of",2018,14110.963
"Uzbekistan, Republic Of",2018,58.696
Czech Republic,2018,251.992
Turkmenistan,2018,40.762
Ukraine,2018,130.905
"Serbia, Republic Of",2018,52.788
"Latvia, Republic Of",2018,33.263
Slovak Republic,2018,106.66
"Estonia, Republic Of",2018,31.237
Mongolia,2018,13.207
Montenegro,2018,5.436
Hungary,2018,161.185
"Slovenia, Republic Of",2018,53.713
Bosnia And Herzegovina,2018,20.504
"Lithuania, Republic Of",2018,54.294
"Croatia, Republic Of",2018,61.694
"Poland, Republic Of",2018,594.641
"North Macedonia, Republic Of",2018,12.694
"Kosovo, Republic Of",2018,7.882
Romania,2018,243.651
United Kingdom,2019,2853.074
United States,2019,21539.975
Germany,2019,3960.332
Austria,2019,443.033
Belgium,2019,536.787
Italy,2019,2019.831
Denmark,2019,345.402
France,2019,2723.094
Netherlands,2019,929.006
Luxembourg,2019,69.88
"San Marino, Republic Of",2019,1.616
Switzerland,2019,721.896
Sweden,2019,530.894
Norway,2019,408.743
Finland,2019,267.044
"Liechtenstein, Principality Of",2019,6.437
Canada,2019,1743.725
Japan,2019,5117.995
"Andorra, Principality Of",2019,3.155
Spain,2019,1403.651
Malta,2019,16.34
Greece,2019,207.329
Iceland,2019,24.986
Ireland,2019,407.256
Portugal,2019,240.142
Argentina,2019,446.762
New Zealand,2019,210.995
Australia,2019,1386.289
"Tã¼Rkiye, Republic Of",2019,775.223
South Africa,2019,389.245
Colombia,2019,323.054
Bolivia,2019,41.193
Brazil,2019,1873.286
Costa Rica,2019,64.412
Chile,2019,278.04
Ecuador,2019,107.596
Dominican Republic,2019,89.237
El Salvador,2019,26.881
Mexico,2019,1304.106
Panama,2019,69.779
Haiti,2019,14.787
Honduras,2019,24.883
Guatemala,2019,77.156
Nicaragua,2019,12.713
Uruguay,2019,62.229
"Venezuela, Repãºblica Bolivariana De",2019,73.014
Peru,2019,236.414
Paraguay,2019,37.925
Dominica,2019,0.612
"Bahamas, The",2019,13.277
"Aruba, Kingdom Of The Netherlands",2019,3.347
Antigua And Barbuda,2019,1.726
Jamaica,2019,17.002
Belize,2019,2.381
Barbados,2019,5.788
Grenada,2019,1.213
St. Kitts And Nevis,2019,1.108
Guyana,2019,5.174
Puerto Rico,2019,105.126
St. Vincent And The Grenadines,2019,0.91
St. Lucia,2019,2.095
Suriname,2019,4.016
Trinidad And Tobago,2019,23.478
Iraq,2019,236.682
"Iran, Islamic Republic Of",2019,252.142
"Bahrain, Kingdom Of",2019,40.447
Cyprus,2019,26.2
Oman,2019,88.061
Kuwait,2019,140.855
Jordan,2019,44.566
Israel,2019,399.209
Qatar,2019,176.371
Lebanon,2019,50.928
United Arab Emirates,2019,433.926
"Egypt, Arab Republic Of",2019,317.894
Saudi Arabia,2019,888.888
"Afghanistan, Islamic Republic Of",2019,18.876
"Yemen, Republic Of",2019,21.888
West Bank And Gaza,2019,17.134
Bangladesh,2019,351.238
Bhutan,2019,2.618
Cambodia,2019,36.682
Myanmar,2019,75.282
Brunei Darussalam,2019,13.469
Indonesia,2019,1119.1
Taiwan Province Of China,2019,613.512
"Hong Kong Special Administrative Region, People'S Republic Of China",2019,363.075
Sri Lanka,2019,89.015
Malaysia,2019,365.178
Lao People'S Democratic Republic,2019,18.77
"Macao Special Administrative Region, People'S Republic Of China",2019,55.082
"Korea, Republic Of",2019,1751.046
"Timor-Leste, Democratic Republic Of",2019,2.033
India,2019,2835.606
Singapore,2019,376.162
Philippines,2019,376.823
Maldives,2019,5.716
Nepal,2019,34.186
Pakistan,2019,321.071
"Palau, Republic Of",2019,0.282
Thailand,2019,543.977
Djibouti,2019,3.089
Vietnam,2019,331.818
Botswana,2019,16.696
Angola,2019,94.671
Algeria,2019,193.361
Central African Republic,2019,2.444
Cameroon,2019,39.673
Burundi,2019,3.009
Cabo Verde,2019,2.251
"Congo, Democratic Republic Of The",2019,50.891
"Congo, Republic Of",2019,13.977
Chad,2019,14.819
"Comoros, Union Of The",2019,1.188
"Eritrea, The State Of",2019,1.982
Benin,2019,14.697
"Equatorial Guinea, Republic Of",2019,11.365
Guinea-Bissau,2019,1.487
"Ethiopia, The Federal Democratic Republic Of",2019,92.608
"Gambia, The",2019,1.806
Gabon,2019,16.875
Guinea,2019,13.443
Ghana,2019,68.353
Malawi,2019,11.031
Kenya,2019,100.328
Cã´Te D'Ivoire,2019,60.383
Liberia,2019,3.08
"Lesotho, Kingdom Of",2019,2.323
"Mauritania, Islamic Republic Of",2019,7.894
Mali,2019,17.281
"Madagascar, Republic Of",2019,14.105
Libya,2019,69.237
Morocco,2019,128.92
Mauritius,2019,14.436
Niger,2019,12.917
Nigeria,2019,668.219
"Mozambique, Republic Of",2019,15.513
Sierra Leone,2019,6.519
Senegal,2019,23.405
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2019,0.416
Rwanda,2019,10.349
Zimbabwe,2019,39.776
Sudan,2019,31.484
"South Sudan, Republic Of",2019,4.044
Somalia,2019,8.655
Seychelles,2019,1.867
Namibia,2019,12.539
Tunisia,2019,41.905
Togo,2019,6.993
"Tanzania, United Republic Of",2019,58.797
"Eswatini, Kingdom Of",2019,4.617
Solomon Islands,2019,1.619
Kiribati,2019,0.217
Burkina Faso,2019,16.092
Uganda,2019,37.895
Zambia,2019,23.309
Tonga,2019,0.494
Vanuatu,2019,0.93
Samoa,2019,0.913
"Nauru, Republic Of",2019,0.125
"Fiji, Republic Of",2019,5.345
Papua New Guinea,2019,24.751
"Belarus, Republic Of",2019,64.414
"Marshall Islands, Republic Of The",2019,0.233
"Micronesia, Federated States Of",2019,0.395
Tuvalu,2019,0.054
"Armenia, Republic Of",2019,13.619
"Azerbaijan, Republic Of",2019,48.174
Albania,2019,15.582
"Kazakhstan, Republic Of",2019,181.667
Georgia,2019,17.645
Russian Federation,2019,1695.724
Bulgaria,2019,68.639
Kyrgyz Republic,2019,9.372
"Moldova, Republic Of",2019,11.737
"Tajikistan, Republic Of",2019,8.301
"China, People'S Republic Of",2019,14572.41
"Uzbekistan, Republic Of",2019,67.294
Czech Republic,2019,256.794
Turkmenistan,2019,44.974
Ukraine,2019,153.904
"Serbia, Republic Of",2019,53.865
"Latvia, Republic Of",2019,33.103
Slovak Republic,2019,105.855
"Estonia, Republic Of",2019,31.877
Mongolia,2019,14.206
Montenegro,2019,5.484
Hungary,2019,164.927
"Slovenia, Republic Of",2019,53.916
Bosnia And Herzegovina,2019,20.485
"Lithuania, Republic Of",2019,55.132
"Croatia, Republic Of",2019,61.472
"Poland, Republic Of",2019,602.592
"North Macedonia, Republic Of",2019,12.609
"Kosovo, Republic Of",2019,7.9
Romania,2019,251.652
United Kingdom,2020,2698.705
United States,2020,21375.275
Germany,2020,3938.244
Austria,2020,434.05
Belgium,2020,529.269
Italy,2020,1905.956
Denmark,2020,355.631
France,2020,2645.806
Netherlands,2020,931.814
Luxembourg,2020,73.612
"San Marino, Republic Of",2020,1.543
Switzerland,2020,741.288
Sweden,2020,544.266
Norway,2020,367.633
Finland,2020,269.784
"Liechtenstein, Principality Of",2020,6.405
Canada,2020,1655.685
Japan,2020,5054.069
"Andorra, Principality Of",2020,2.885
Spain,2020,1288.751
Malta,2020,16.392
Greece,2020,191.21
Iceland,2020,22.035
Ireland,2020,435.659
Portugal,2020,229.435
Argentina,2020,385.218
New Zealand,2020,210.54
Australia,2020,1362.665
"Tã¼Rkiye, Republic Of",2020,730.345
South Africa,2020,337.876
Colombia,2020,270.348
Bolivia,2020,36.897
Brazil,2020,1476.092
Costa Rica,2020,62.382
Chile,2020,254.06
Ecuador,2020,95.865
Dominican Republic,2020,78.625
El Salvador,2020,24.921
Mexico,2020,1121.065
Panama,2020,57.06
Haiti,2020,14.508
