country_imf,country_display,date,year,month,log_exports,log_imports,exchange_rate,trade_balance,exports_mom_pct,imports_mom_pct,anomaly,anomaly_score,is_anomaly
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-02-01,2017,2,18.16010668011908,14.668417515057913,66.8933304347826,74714450.0,188.4423491717112,80.76394484769021,1,0.10861446296377103,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-03-01,2017,3,17.478472947652563,13.785412110140241,67.8315923076923,38006286.0,-49.4210014943115,-58.64620574764421,1,0.14649045249807835,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-04-01,2017,4,18.771626658295702,14.161733671319867,67.5608375,140627332.0,264.4261465875646,45.69160168145687,1,0.08570831832529163,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-05-01,2017,5,17.537778631393245,14.018611389162329,67.82534,40132895.0,-70.88300157512917,-13.335200750928223,1,0.15021725955862025,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-06-01,2017,6,17.894230014881696,14.086451781090277,68.18878,57758582.0,42.82521025511574,7.019454046090612,1,0.14716060809296266,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-07-01,2017,7,19.3222782369461,13.642701216262811,68.3215260869565,245512247.0,317.05513067858266,-35.837482849640445,1,0.06675808754856327,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-08-01,2017,8,18.02302266155801,13.110355571400035,68.5115,66695140.0,-72.72652550109042,-41.2774561183506,1,0.12671716851569126,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-09-01,2017,9,18.46018662797903,13.051794979713241,68.5299272727273,103563730.0,54.83099352423919,-5.687902176179227,1,0.1182512514409102,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-10-01,2017,10,16.96375509845127,13.663159757382125,68.25,22436448.0,-77.60721915646731,84.29467024087258,1,0.14101217046056536,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-11-01,2017,11,18.224078096086146,13.648351467788222,68.5228115384615,81305635.0,252.65604825454108,-1.469920320117013,1,0.09732484883637726,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2017-12-01,2017,12,17.34158098168171,14.671040583762952,69.0332,31637517.0,-58.62515637077694,178.06643469051986,1,0.14620571178811992,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2018-01-01,2018,1,17.469398849751013,15.366588582135831,69.778188,33908006.0,13.634602296542674,100.48078312689684,1,0.15769362792755792,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2018-02-01,2018,2,18.25759205217088,14.03028317052872,68.8938,83712004.0,119.94189603261987,-73.71852864519009,1,0.11385480683026072,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2018-03-01,2018,3,19.036083008226317,14.916862756316032,69.1270652173913,182031849.0,117.81828244448369,142.6815878616853,1,0.1035496300100533,False
"Afghanistan, Islamic Republic Of","Afghanistan, Islamic Republic Of",2018-04-01,2018,4,18.161767336423118,15.122552815467529,69.6550041666667,73493758.0,-58.285261540555226,22.83724981135087,1,0.14896481712029075,False
