date,country_imf,y_log_exports,pred_log_exports,residual,residual_z,stgcn_anomaly
2023-01-01,Australia,21.652070999145508,21.591161727905273,0.060909271240234375,0.5488478318268929,False
2023-01-01,Belgium,22.030214309692383,21.576873779296875,0.4533405303955078,2.436985566298658,True
2023-01-01,Brazil,22.002050399780273,22.16946029663086,-0.16740989685058594,-1.6562457231950478,False
2023-01-01,Canada,24.03975486755371,24.16582679748535,-0.12607192993164062,-1.9993101575744685,False
2023-01-01,Chile,21.168498992919922,21.33014488220215,-0.16164588928222656,-0.2589372824869184,False
2023-01-01,"China, People'S Republic Of",23.286670684814453,23.326087951660156,-0.039417266845703125,0.3746374825926638,False
2023-01-01,Colombia,20.98756980895996,21.162084579467773,-0.1745147705078125,-0.7992605772725405,False
2023-01-01,Dominican Republic,20.73191261291504,20.819570541381836,-0.08765792846679688,-1.2538900957812231,False
2023-01-01,France,21.997512817382812,21.934789657592773,0.06272315979003906,1.1654077948713522,False
2023-01-01,Germany,22.59551429748535,22.43535041809082,0.16016387939453125,1.4586702455427885,False
2023-01-01,"Hong Kong Special Administrative Region, People'S Republic Of China",21.17583656311035,21.371408462524414,-0.1955718994140625,-0.9683253020766562,False
2023-01-01,India,21.812776565551758,22.099775314331055,-0.2869987487792969,-1.6312695359676155,False
2023-01-01,Ireland,21.206022262573242,20.858924865722656,0.34709739685058594,2.733799512455948,True
2023-01-01,Israel,20.87097930908203,20.88066291809082,-0.009683609008789062,0.5423311301977589,False
2023-01-01,Italy,21.614229202270508,21.444726943969727,0.16950225830078125,0.9984208400877697,False
2023-01-01,Japan,22.52228355407715,22.56431007385254,-0.042026519775390625,-1.0220629523672682,False
2023-01-01,"Korea, Republic Of",22.396190643310547,22.50985336303711,-0.1136627197265625,-0.9225768243162714,False
2023-01-01,Malaysia,21.07840919494629,21.0853214263916,-0.0069122314453125,-0.42056331406962105,False
2023-01-01,Mexico,24.028778076171875,24.02687644958496,0.0019016265869140625,-0.37710262949532136,False
2023-01-01,Netherlands,22.48280143737793,22.459760665893555,0.023040771484375,-0.9827957901713136,False
2023-01-01,Saudi Arabia,20.79709815979004,20.825294494628906,-0.028196334838867188,0.34364938978479725,False
2023-01-01,Singapore,21.860965728759766,21.97325897216797,-0.11229324340820312,-0.4740370171267265,False
2023-01-01,Spain,21.29947280883789,21.402332305908203,-0.1028594970703125,0.23418089142124743,False
2023-01-01,Switzerland,21.9305362701416,21.799779891967773,0.13075637817382812,0.8965430081417293,False
2023-01-01,Taiwan Province Of China,21.812517166137695,21.964752197265625,-0.1522350311279297,-0.9993579722739921,False
2023-01-01,Thailand,20.83722686767578,20.975563049316406,-0.138336181640625,-1.1133803831556948,False
2023-01-01,"Turkiye, Republic Of",20.847475051879883,20.867637634277344,-0.020162582397460938,0.4238454420141215,False
2023-01-01,United Arab Emirates,21.33097267150879,21.342092514038086,-0.011119842529296875,0.18935114893017832,False
2023-01-01,United Kingdom,22.681798934936523,22.52092170715332,0.16087722778320312,1.185917635614516,False
2023-01-01,Vietnam,20.516159057617188,20.564496994018555,-0.04833793640136719,-0.2890388029173367,False
2023-02-01,Australia,21.677888870239258,21.625333786010742,0.052555084228515625,0.4655232109273939,False
2023-02-01,Belgium,21.902158737182617,21.65822410583496,0.24393463134765625,1.4082347630309822,False
