country_display,date,lstm_anomaly,recon_error,is_anomaly,anomaly_score,both_flagged,recon_z
Australia,2017-12-01,False,0.0206093653215361,False,0.1374945650837612,False,-0.21539671701618274
Australia,2018-01-01,False,0.0161651359123698,False,0.1458394643449856,False,-0.43747905727832714
Australia,2018-02-01,False,0.0198677769217412,False,0.022028214533468,False,-0.2524545896359054
Australia,2018-03-01,False,0.0201147983973262,False,0.1142328823813548,False,-0.24011069323852846
Australia,2018-04-01,False,0.0212027009282113,False,0.1640017802239026,False,-0.18574717646377314
Australia,2018-05-01,False,0.02250090252357,False,0.1626813210475175,False,-0.12087481685185267
Australia,2018-06-01,False,0.0242638009454295,False,0.1218478524048279,False,-0.032781118006445266
Australia,2018-07-01,False,0.0232012003796118,False,0.1508827614803811,False,-0.08588027169413547
Australia,2018-08-01,False,0.0196817358527318,False,0.168862230079691,False,-0.26175123753289803
Australia,2018-09-01,False,0.0174510491995347,False,0.1531167037452246,False,-0.3732207560307009
Australia,2018-10-01,False,0.0137881784837862,False,0.1698077898990485,False,-0.5562578645456955
Australia,2018-11-01,False,0.0142634560560448,False,0.1649855107289167,False,-0.5325077954552926
Australia,2018-12-01,False,0.0151620690609588,False,0.1379514995742072,False,-0.48760325503942414
Australia,2019-01-01,False,0.0142905184707484,False,0.1229535284870376,False,-0.5311554610375138
Australia,2019-02-01,False,0.0087378211345494,False,0.1135084470802048,False,-0.8086289903398137
Australia,2019-03-01,False,0.0096243041903852,False,0.1372009197687765,False,-0.7643305949336946
Australia,2019-04-01,False,0.0095018647261098,False,0.1717459725926425,False,-0.7704490105831301
Australia,2019-05-01,False,0.0107361957905222,False,0.1589477245985781,False,-0.7087683217155424
Australia,2019-06-01,False,0.0075004054204155,False,0.1543667074897931,False,-0.8704638220668197
Australia,2019-07-01,False,0.0077615735885069,False,0.1699715473611667,False,-0.8574130020861752
Australia,2019-08-01,False,0.0070389560188711,False,0.172790562586002,False,-0.8935228844086914
Australia,2019-09-01,False,0.0093113822071867,False,0.1352787376904177,False,-0.7799676019263717
Australia,2019-10-01,False,0.0126652306556422,False,0.121739336227864,False,-0.6123726279177544
Australia,2019-11-01,False,0.0112364409418286,False,0.1605106855915343,False,-0.6837705991232345
Australia,2019-12-01,False,0.0131985197278143,False,0.0526768828191514,False,-0.5857236693964109
Australia,2020-01-01,False,0.0206763725381947,False,0.0378323328245572,False,-0.21204830312483378
Australia,2020-02-01,False,0.0226069967576478,False,0.0648199262955745,False,-0.11557318779019325
Australia,2020-03-01,False,0.0272572590384785,False,0.1191002628458075,False,0.11680480962587454
Australia,2020-04-01,False,0.0561899252412958,True,-0.1705450923081177,False,1.5625974608991287
Australia,2020-05-01,False,0.0561023157592789,True,-0.064280830639961,False,1.5582195323531054
Australia,2020-06-01,False,0.0621941315602697,False,0.0471516024534438,False,1.8626333204306504
Australia,2020-07-01,False,0.0582105429676703,True,-0.082900089546945,False,1.6635696367555057
Australia,2020-08-01,False,0.0612178823376224,False,0.1196232811495823,False,1.8138492249027638
Australia,2020-09-01,True,0.0703032848451212,False,0.1605528881883867,False,2.2678553675486257
Australia,2020-10-01,True,0.0900948539948366,False,0.117280173438478,False,3.256858767139869
Australia,2020-11-01,True,0.0938633567686152,False,0.1523100268195218,False,3.4451744093429864
Australia,2020-12-01,True,0.0781097245577332,True,-0.0322179053862781,True,2.6579505316093477
Australia,2021-01-01,True,0.0775364094769468,False,0.0607917838845817,False,2.6293014356409854
Australia,2021-02-01,False,0.051555678836039,False,0.0961514372281446,False,1.3310197919092814
Australia,2021-03-01,False,0.0577213679958414,False,0.0338988220319762,False,1.6391251014852595
Australia,2021-04-01,False,0.0481803551002874,False,0.1640919686514479,False,1.1623516775153624
Australia,2021-05-01,False,0.0446309225092301,False,0.1535460099481898,False,0.9849831792108154
Australia,2021-06-01,False,0.041939248407591,False,0.1711127523878064,False,0.85047768260389
Australia,2021-07-01,False,0.0360864903349186,False,0.1824942167764505,False,0.5580098349526422
Australia,2021-08-01,False,0.0370505599928138,False,0.1689048566157073,False,0.6061853061287027
Australia,2021-09-01,False,0.0373316308862311,False,0.160888932616383,False,0.6202306840880271
Australia,2021-10-01,False,0.0318168140522002,False,0.1468563846241882,False,0.34465007924962765
Australia,2021-11-01,False,0.0295336440562314,False,0.1600294707844228,False,0.23055791855349908
Australia,2021-12-01,False,0.0194341481038431,False,0.1703045205049649,False,-0.27412343114199295
Australia,2022-01-01,False,0.014856366600296,False,0.1569843915097897,False,-0.5028794956735967
Australia,2022-02-01,False,0.0110788340250724,False,0.1671308944741361,False,-0.691646365581763
Australia,2022-03-01,False,0.0074884695367759,False,0.0972949047729114,False,-0.8710602694433461
Australia,2022-04-01,False,0.0097042106733629,False,0.159806679390321,False,-0.7603375925236022
Australia,2022-05-01,False,0.0064777504753776,False,0.1475114425760289,False,-0.921566855363491
Australia,2022-06-01,False,0.008735799687109,False,0.1152428703421439,False,-0.8087300039772635
Australia,2022-07-01,False,0.0086828956381508,False,0.1567792474954779,False,-0.8113736692610013
Australia,2022-08-01,False,0.0088426189547821,False,0.1701634958180751,False,-0.8033921443021976
Australia,2022-09-01,False,0.0097390848722874,False,0.0809285532520022,False,-0.7585948958716368
Australia,2022-10-01,False,0.0111980042404001,False,0.0959013509479969,False,-0.6856913173893961
Australia,2022-11-01,False,0.0110926389856955,False,0.1536741558680144,False,-0.6909565186634016
Australia,2022-12-01,False,0.0114596984757442,False,0.1250155289069435,False,-0.672614209331369
Australia,2023-01-01,False,0.0105702622463736,False,0.1596334218321358,False,-0.7170601776077039
Australia,2023-02-01,False,0.0115431063522592,False,0.1594526785336825,False,-0.6684462389798514
Australia,2023-03-01,False,0.0138542033080139,False,0.1063739235646438,False,-0.5529585417317917
Australia,2023-04-01,False,0.0148722924655147,False,0.1065703462013768,False,-0.5020836651498227
Australia,2023-05-01,False,0.0166053736288863,False,0.0869011151341052,False,-0.4154799628674948
Australia,2023-06-01,False,0.0168100580489265,False,0.1303832569496996,False,-0.40525168911457554
Australia,2023-07-01,False,0.0174625595769583,False,0.110740971164343,False,-0.3726455716015935
Australia,2023-08-01,False,0.0181029479890308,False,0.1396445444002504,False,-0.34064475793151383
Australia,2023-09-01,False,0.0162825687779706,False,0.140967496775914,False,-0.431610826092393
Australia,2023-10-01,False,0.0141799260180149,False,0.1386793831538355,False,-0.5366818703330667
Australia,2023-11-01,False,0.0136113888605121,False,0.1549185416000065,False,-0.5650922089631545
Australia,2023-12-01,False,0.0201061224347861,False,0.0528556000628909,False,-0.2405442392793692
Australia,2024-01-01,False,0.0210321397033938,False,0.1403051312295059,False,-0.19427028192887874
Australia,2024-02-01,False,0.0182909823935808,False,0.1653540992331975,False,-0.3312485011752505
Australia,2024-03-01,False,0.0154604071198639,False,0.0703021091966937,False,-0.47269502051528894
Australia,2024-04-01,False,0.0157214205355435,False,0.1396900778481564,False,-0.459651933658795
Australia,2024-05-01,False,0.0163967379090694,False,0.0784601312986187,False,-0.4259056868014683
Australia,2024-06-01,False,0.0185454182311794,False,0.0805623586101298,False,-0.31853410210667144
Australia,2024-07-01,False,0.0182552428017927,False,0.1032989908650714,False,-0.3330344423258006
Australia,2024-08-01,False,0.0195911003387629,False,0.0498565174023062,False,-0.2662803797530454
Australia,2024-09-01,False,0.0196601694315981,False,0.1203382328244772,False,-0.2628289319621219
Australia,2024-10-01,False,0.0217774961142234,False,0.103243309661345,False,-0.15702411823961915
Australia,2024-11-01,False,0.023896247583187,False,0.0258488831824931,False,-0.05114810659836553
Australia,2024-12-01,False,0.0266795410566565,True,-0.1006148843123335,False,0.08793569653510343
Belgium,2017-12-01,False,0.007891791721753,False,0.1389065016351652,False,-1.0252905666798964
