country_imf,date,year,actual,predicted,residual,residual_z,xgb_anomaly
Australia,2020-01-01,2020,21.254722194445545,21.47706220358277,-0.2223400091372234,-1.9279965361724383,False
Australia,2020-02-01,2020,21.482839239564903,21.415673975170055,0.06716526439484838,0.6624482873289949,False
Australia,2020-03-01,2020,21.484246212895506,21.58522950082451,-0.10098328792900446,-0.8421168683669699,False
Australia,2020-04-01,2020,21.19234478693302,21.360089397481516,-0.1677446105484961,-1.4394860301781538,False
Australia,2020-05-01,2020,21.281836928519425,21.444329752259264,-0.1624928237398393,-1.3924939191653263,False
Australia,2020-06-01,2020,21.27091339100828,21.481391742770942,-0.2104783517626636,-1.8218604075651919,False
Australia,2020-07-01,2020,21.477474104998965,21.381541469014522,0.09593263598444324,0.9198539225039021,False
Australia,2020-08-01,2020,21.44715007048343,21.469000213215658,-0.02185014273222663,-0.13404670494153115,False
Australia,2020-09-01,2020,21.450087187082687,21.386987054033956,0.06310013304873152,0.626074171155131,False
Australia,2020-10-01,2020,21.486796861409143,21.58473709981137,-0.09794023840222721,-0.8148881695659951,False
Australia,2020-11-01,2020,21.394325032638775,21.47654747209,-0.08222243945122543,-0.6742479303306008,False
Australia,2020-12-01,2020,21.396572872006377,21.506655327348955,-0.1100824553425781,-0.9235346982983254,False
Australia,2021-01-01,2021,21.27462126816617,21.44054350656916,-0.16592223840298814,-1.4231797486613118,False
Australia,2021-02-01,2021,21.2657704655797,21.378523952521817,-0.11275348694211829,-0.9474346428348145,False
Australia,2021-03-01,2021,21.673109561129824,21.48745954698849,0.1856500141413342,1.722630034279608,False
Australia,2021-04-01,2021,21.523212227646784,21.446380710467835,0.07683151717894887,0.7489403024198892,False
Australia,2021-05-01,2021,21.60362462639938,21.41470400672979,0.18892061966959162,1.751894866166862,False
Australia,2021-06-01,2021,21.518695936618492,21.6075341369669,-0.08883820034840895,-0.7334446536252931,False
Australia,2021-07-01,2021,21.527424790934013,21.524634223526622,0.0027905674073913644,0.08643425296924587,False
Australia,2021-08-01,2021,21.579714166515664,21.50123981519616,0.0784743513195032,0.7636401078615989,False
Australia,2021-09-01,2021,21.480073455272787,21.510174216909686,-0.030100761636898454,-0.20787186457173212,False
Australia,2021-10-01,2021,21.64340150517006,21.584004481492283,0.05939702367777855,0.592939367136502,False
Australia,2021-11-01,2021,21.494785555992724,21.525063756031063,-0.03027820003833881,-0.20945955374538242,False
Australia,2021-12-01,2021,21.498282237321312,21.48886927375165,0.00941296356966248,0.14569034750747029,False
Australia,2022-01-01,2022,21.43066128807916,21.405732378885848,0.024928909193313586,0.2845244368908682,False
Australia,2022-02-01,2022,21.499118505907422,21.448458845448563,0.050659660458858724,0.5147589006967592,False
Australia,2022-03-01,2022,21.628032508780954,21.4881043604436,0.13992814833735423,1.3135184172519265,False
Australia,2022-04-01,2022,21.65848864121533,21.50696721236114,0.15152142885419195,1.4172531545706764,False
Australia,2022-05-01,2022,21.637198372058986,21.586045896899705,0.0511524751592809,0.5191685243076832,False
Australia,2022-06-01,2022,21.801054752594634,21.727588758110443,0.07346599448419155,0.7188261675834304,False
Australia,2022-07-01,2022,21.690282173102577,21.69515436667532,-0.0048721935727442656,0.01786914784164582,False
Australia,2022-08-01,2022,21.603272523051544,21.6746144678562,-0.07134194480465439,-0.5768910819026823,False
Australia,2022-09-01,2022,21.84347185935936,21.695190201988574,0.1482816573707879,1.3882642205657079,False
Australia,2022-10-01,2022,21.620552751119032,21.78938437310175,-0.16883162198271862,-1.4492124268980278,False
Australia,2022-11-01,2022,21.606654790997514,21.637966911613056,-0.03131212061554223,-0.21871090234588209,False
Australia,2022-12-01,2022,21.782189316574787,21.714598053253745,0.0675912633210416,0.6662600545542028,False
Australia,2023-01-01,2023,21.65207044504108,21.676149302376317,-0.024078857335236847,-0.15398887088549726,False
Australia,2023-02-01,2023,21.677888956760583,21.62228198858219,0.055606968178391725,0.5590265836856606,False
Australia,2023-03-01,2023,21.816537273286563,21.775055281591964,0.04148199169459943,0.43263865379371774,False
Australia,2023-04-01,2023,21.605015397735446,21.83179038833429,-0.22677499059884454,-1.9676800093935523,False
Australia,2023-05-01,2023,21.74622990778864,21.761257150984626,-0.015027243195987694,-0.07299653970866021,False
Australia,2023-06-01,2023,21.77805692442534,21.772622193448203,0.005434730977135871,0.11009378686363251,False
Australia,2023-07-01,2023,21.850113976442593,21.73935532924008,0.1107586472025126,1.052514594084958,False
Australia,2023-08-01,2023,21.77477056023147,21.7970295511717,-0.022258990940230206,-0.13770501040553634,False
Australia,2023-09-01,2023,21.78008045110664,21.77791055783215,0.0021698932744911303,0.08088056451640138,False
Australia,2023-10-01,2023,21.788478124003646,21.784777396883573,0.0037007271200728553,0.09457821002919949,False
Australia,2023-11-01,2023,21.7115897274938,21.795413616596136,-0.08382388910233729,-0.6885774342743738,False
Australia,2023-12-01,2023,21.832106328088816,21.66187499954756,0.17023132854125578,1.5846662113391097,False
Australia,2024-01-01,2024,21.631882788135506,21.706224628180628,-0.0743418400451219,-0.6037336433590101,False
Australia,2024-02-01,2024,21.70132633762348,21.638441368829945,0.06288496879353644,0.624148917344475,False
Australia,2024-03-01,2024,21.847226689200852,21.821432821969903,0.025793867230948564,0.29226393691379016,False
Australia,2024-04-01,2024,21.64012357204385,21.772038267857393,-0.13191469581354198,-1.1188859387902592,False
Australia,2024-05-01,2024,21.82352564437653,21.705653303153845,0.11787234122268586,1.1161667397806374,False
Australia,2024-06-01,2024,21.870091047656214,21.80867653392993,0.061414513726283815,0.6109915310534303,False
Australia,2024-07-01,2024,21.820273028802234,21.86777126463384,-0.047498235831607616,-0.3635415572852623,False
Australia,2024-08-01,2024,21.925046066435936,21.815506692371383,0.10953937406455339,1.0416047417353742,False
Australia,2024-09-01,2024,21.807386209892865,21.828170884774693,-0.02078467488182767,-0.1245130766106903,False
Australia,2024-10-01,2024,21.634985052545026,21.909472562140557,-0.2744875095955308,-2.3946036586357744,True
Australia,2024-11-01,2024,21.900908928870045,21.71765343879201,0.18325549007803588,1.7012042329847186,False
Australia,2024-12-01,2024,21.71583760399022,21.811964815654964,-0.09612721166474358,-0.7986655091989332,False
Belgium,2020-01-01,2020,21.689189263294974,21.589209658343155,0.09997960495181957,0.6944806885192163,False
